State,Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities
ANDHRA PRADESH,MACHILIPATNAM,VIJAYA LAKSHMI CHALAPAKA,IND,0,GRADUATE,39,1208274,0
ANDHRA PRADESH,MACHILIPATNAM,YARLAGADDA RAMA MOHANA RAO,BAHUJAN MAHA PARTY,0,12TH PASS,56,,
ANDHRA PRADESH,NANDYAL,POCHA BRAHMANANDA REDDY,YSRCP,1,POST GRADUATE,60,585932911,177035582
ANDHRA PRADESH,NANDYAL,ADINARAYANA INTY,BJP,1,POST GRADUATE,67,33885898,4479155
ANDHRA PRADESH,NANDYAL,B.C. RAMANATHA REDDY,IND,1,GRADUATE,54,26418457,2329020
ANDHRA PRADESH,NANDYAL,BHUMA KISHOR REDDY,IND,0,10TH PASS,35,,
ANDHRA PRADESH,NANDYAL,C. SURENDRA NATH REDDY,IND,0,12TH PASS,54,925000,0
ANDHRA PRADESH,NANDYAL,D. MAHAMMAD RAFI,B. C. UNITED FRONT,0,10TH PASS,29,50000,190000
ANDHRA PRADESH,NANDYAL,D. P. JAMAL BASHA,ANNA YSR CONGRESS PARTY,0,10TH PASS,48,,
ANDHRA PRADESH,NANDYAL,DR. LAKSHMI KANTHA REDDY CHITLA,IND,0,DOCTORATE,34,170000,90000
ANDHRA PRADESH,NANDYAL,ELLURI BHUPAL,IND,0,GRADUATE,39,20000,20000
ANDHRA PRADESH,NANDYAL,JESTADI SUDHAKAR,IND,1,10TH PASS,38,462788,0
ANDHRA PRADESH,NANDYAL,K.P. KAMBAGIRISWAMY,IND,1,10TH PASS,40,1400000,600000
ANDHRA PRADESH,NANDYAL,LAKSHMI NARASAIAH JANGITI,INC,0,POST GRADUATE,33,,
ANDHRA PRADESH,NANDYAL,MANDRA SIVANANDA REDDY,TDP,0,GRADUATE PROFESSIONAL,57,348903562,68693655
ANDHRA PRADESH,NANDYAL,POLURU GURUVAIAH,IND,0,ILLITERATE,30,,
ANDHRA PRADESH,NANDYAL,PULA. NAGAMADDILETY,AMBEDKAR NATIONAL CONGRESS,0,10TH PASS,40,50000,0
ANDHRA PRADESH,NANDYAL,RUDDIREDDY RADHAKRISHNA,AIFB,0,OTHERS,38,500000,280000
ANDHRA PRADESH,NANDYAL,S.P.Y. REDDY,JANASENA PARTY,1,GRADUATE,69,333760526,9594811
ANDHRA PRADESH,NANDYAL,VANGALA PARAMESWARA REDDY.,IND,3,10TH PASS,40,2300000,2500000
ANDHRA PRADESH,NARASARAOPET,LAVU SRI KRISHNA DEVARAYALU,YSRCP,0,GRADUATE PROFESSIONAL,36,177710073,10142413
ANDHRA PRADESH,NARASARAOPET,ALLU VENKATA REDDY,PYRAMID PARTY OF INDIA,0,GRADUATE PROFESSIONAL,49,16364000,1290000
ANDHRA PRADESH,NARASARAOPET,DURGAMPUDI RAMI REDDY,IND,0,ILLITERATE,66,1945300,70000
ANDHRA PRADESH,NARASARAOPET,GADDALA VENU,IND,0,GRADUATE,28,,
ANDHRA PRADESH,NARASARAOPET,KANAKAM SRINIVASARAO,NATIONAL NAVA KRANTHI PARTY,0,10TH PASS,40,50000,0
ANDHRA PRADESH,NARASARAOPET,KANNA LAKSHMI NARAYANA,BJP,0,GRADUATE,64,391360844,22561506
ANDHRA PRADESH,NARASARAOPET,KANTE SAYANNA,IND,0,GRADUATE,40,,
ANDHRA PRADESH,NARASARAOPET,NARASIMHARAO PARIMI,IND,1,ILLITERATE,31,451000,0
ANDHRA PRADESH,NARASARAOPET,RAYAPATI SAMBASIVA RAO,TDP,0,GRADUATE,75,437940180,1233171
ANDHRA PRADESH,NARASARAOPET,REDDYBOINA PRASANNA KUMAR,IND,0,5TH PASS,50,12500,0
ANDHRA PRADESH,NARASARAOPET,SHAIK NAYUB KAMAL,JANASENA PARTY,0,12TH PASS,50,,
ANDHRA PRADESH,NARASARAOPET,SURABHI DEVASAHAYAM,IUML,0,8TH PASS,47,423688,0
ANDHRA PRADESH,NARSAPURAM,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,3,POST GRADUATE,57,3259405378,1014467354
ANDHRA PRADESH,NARSAPURAM,DASARI KRISHNA MURTHY,INDIA PRAJA BANDHU PARTY,0,10TH PASS,32,703000,153000
ANDHRA PRADESH,NARSAPURAM,G S RAJU,SP,0,10TH PASS,51,1700000,0
ANDHRA PRADESH,NARSAPURAM,GANJI PURNIMA,RPI(A),0,GRADUATE,35,,
ANDHRA PRADESH,NARSAPURAM,GOTTUMUKKALA SHIVAJI,IND,0,POST GRADUATE,48,8084000,0
ANDHRA PRADESH,NARSAPURAM,GURUGUBILLI RAMBABU,MARXIST COMMUNIST PARTY OF INDIA (UNITED),0,5TH PASS,52,30000,0
ANDHRA PRADESH,NARSAPURAM,K.A.PAUL,PRAJA SHANTHI PARTY,2,12TH PASS,55,,
ANDHRA PRADESH,NARSAPURAM,KANUMURU BAPIRAJU,INC,1,10TH PASS,71,143319558,0
ANDHRA PRADESH,NARSAPURAM,NAGABABU KONIDELA,JANASENA PARTY,0,GRADUATE PROFESSIONAL,58,367820773,21678798
ANDHRA PRADESH,NARSAPURAM,NALLAM SURYA CHANDRA RAO,PYRAMID PARTY OF INDIA,0,GRADUATE,59,20935000,898000
ANDHRA PRADESH,NARSAPURAM,NALLI RAJESH,IND,6,10TH PASS,36,,
ANDHRA PRADESH,NARSAPURAM,PYDIKONDALA MANIKYALA RAO,BJP,3,12TH PASS,58,22392505,1242976
ANDHRA PRADESH,NARSAPURAM,VENKATA SIVARAMA RAJU VETUKURI,TDP,1,GRADUATE,48,60940339,0
ANDHRA PRADESH,NARSAPURAM,YELLA VENUGOPAL RAO,NAVA SAMAJ PARTY,0,POST GRADUATE,63,,
ANDHRA PRADESH,NELLORE,ADALA PRABHAKARA REDDY,YSRCP,0,12TH PASS,70,2211663364,152281255
ANDHRA PRADESH,NELLORE,BEEDA MASTHAN RAO,TDP,0,GRADUATE,60,1654392880,680973688
ANDHRA PRADESH,NELLORE,BUTTI NAGARAJU,IND,0,POST GRADUATE,49,,
ANDHRA PRADESH,NELLORE,CHANDRA RAJAGOPAL,CPI(M),2,10TH PASS,67,2353200,240000
ANDHRA PRADESH,NELLORE,CHEVURU DEVAKUMAR REDDY,INC,2,12TH PASS,61,73819429,3948741
ANDHRA PRADESH,NELLORE,CHINNI VENKATESWARLU,PYRAMID PARTY OF INDIA,0,LITERATE,67,,
ANDHRA PRADESH,NELLORE,DR. S. SURESH BABU,IND,0,DOCTORATE,42,9550548,0
ANDHRA PRADESH,NELLORE,KANKANALA PENCHALA NAIDU,IND,0,8TH PASS,33,,0
ANDHRA PRADESH,NELLORE,NARASAPURAM PRASAD,IND,0,OTHERS,50,8563000,0
ANDHRA PRADESH,NELLORE,SANNAPUREDDY SURESH REDDY,BJP,1,GRADUATE,58,28828964,700000
ANDHRA PRADESH,NELLORE,SHAIK MAHABOOB BASHA (MABU),RPI(A),1,GRADUATE PROFESSIONAL,35,,
ANDHRA PRADESH,ONGOLE,MAGUNTA SREENIVASULU REDDY,YSRCP,0,GRADUATE,65,266583686,91302133
